,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
61,61,500.0,2022-06-21 12:50:00.048606,2022-06-21 12:50:12.583717,0 days 00:00:12.535111,relu,6,0.006067730093183046,0.6974898648633189,small,0.9939322699068169,64,COMPLETE
62,62,110.8,2022-06-21 12:50:12.590649,2022-06-21 12:50:18.414299,0 days 00:00:05.823650,relu,6,0.005400158988993355,0.5176176446156301,small,0.9945998410110066,64,PRUNED
63,63,162.0,2022-06-21 12:50:18.416607,2022-06-21 12:50:24.341606,0 days 00:00:05.924999,relu,6,0.003962106229468611,1.8999895417297996,small,0.9960378937705314,64,PRUNED
64,64,500.0,2022-06-21 12:50:24.343572,2022-06-21 12:50:36.395480,0 days 00:00:12.051908,relu,7,0.011117783047066794,0.712814415700638,timy,0.9888822169529332,128,COMPLETE
65,65,146.0,2022-06-21 12:50:36.398504,2022-06-21 12:50:42.108802,0 days 00:00:05.710298,relu,7,0.0006769992431405352,0.9151900850687437,timy,0.9993230007568594,128,PRUNED
66,66,9.2,2022-06-21 12:50:42.113260,2022-06-21 12:50:47.691836,0 days 00:00:05.578576,tanh,7,0.016035590193504944,0.8436947632079944,small,0.983964409806495,128,PRUNED
67,67,355.1,2022-06-21 12:50:47.693603,2022-06-21 12:50:53.720914,0 days 00:00:06.027311,relu,9,0.010115347095259195,0.7221080193954238,timy,0.9898846529047408,512,PRUNED
68,68,9.7,2022-06-21 12:50:53.722609,2022-06-21 12:51:00.631704,0 days 00:00:06.909095,relu,4,0.023249523961180376,0.6271943167508199,small,0.9767504760388196,16,PRUNED
69,69,232.4,2022-06-21 12:51:00.638009,2022-06-21 12:51:06.229703,0 days 00:00:05.591694,tanh,8,0.0056866508491639775,0.6943875535428581,timy,0.994313349150836,256,PRUNED
70,70,478.6,2022-06-21 12:51:06.232330,2022-06-21 12:51:19.520716,0 days 00:00:13.288386,relu,5,0.009746183004350553,0.5546590168478717,small,0.9902538169956494,32,COMPLETE
71,71,500.0,2022-06-21 12:51:19.523066,2022-06-21 12:51:31.755696,0 days 00:00:12.232630,relu,7,0.0068933112950470415,2.370751563256403,small,0.993106688704953,128,COMPLETE
72,72,110.4,2022-06-21 12:51:31.761376,2022-06-21 12:51:37.583669,0 days 00:00:05.822293,relu,6,0.00010932816794305785,0.6005565342740117,small,0.9998906718320569,64,PRUNED
73,73,169.1,2022-06-21 12:51:37.586290,2022-06-21 12:51:43.267531,0 days 00:00:05.681241,relu,7,0.0036308810398836618,2.17490441833983,timy,0.9963691189601164,128,PRUNED
74,74,500.0,2022-06-21 12:51:43.269692,2022-06-21 12:51:55.233040,0 days 00:00:11.963348,relu,7,0.006962664252954531,2.97338218244586,small,0.9930373357470454,128,COMPLETE
75,75,97.7,2022-06-21 12:51:55.235403,2022-06-21 12:52:00.868347,0 days 00:00:05.632944,relu,7,0.012323452788337337,3.5306924971931832,small,0.9876765472116626,128,PRUNED
76,76,168.6,2022-06-21 12:52:00.873555,2022-06-21 12:52:07.082718,0 days 00:00:06.209163,relu,5,0.0077318449525436315,0.4622760897102393,small,0.9922681550474564,32,PRUNED
77,77,500.0,2022-06-21 12:52:07.085311,2022-06-21 12:52:19.106049,0 days 00:00:12.020738,tanh,8,0.0024558627262292417,1.4687329421782878,timy,0.9975441372737708,256,COMPLETE
78,78,276.8,2022-06-21 12:52:19.109017,2022-06-21 12:52:24.913852,0 days 00:00:05.804835,relu,8,0.0061591020967387234,2.579895078083439,small,0.9938408979032612,256,PRUNED
79,79,374.4,2022-06-21 12:52:24.915840,2022-06-21 12:52:30.766320,0 days 00:00:05.850480,relu,9,0.0024800920616515607,1.7803681033909553,timy,0.9975199079383484,512,PRUNED
80,80,226.9,2022-06-21 12:52:30.768312,2022-06-21 12:52:36.591452,0 days 00:00:05.823140,relu,7,0.004956510538290363,2.4034435266513117,small,0.9950434894617096,128,PRUNED
81,81,66.1,2022-06-21 12:52:36.593445,2022-06-21 12:52:41.970463,0 days 00:00:05.377018,relu,8,0.009956961216820335,4.073678501528629,small,0.9900430387831797,256,PRUNED
82,82,298.3,2022-06-21 12:52:41.974400,2022-06-21 12:52:48.082036,0 days 00:00:06.107636,relu,6,0.0066858773314585765,3.380952459205191,small,0.9933141226685415,64,PRUNED
83,83,110.9,2022-06-21 12:52:48.084674,2022-06-21 12:52:53.557915,0 days 00:00:05.473241,relu,8,0.014400929007189601,2.4520136442234697,small,0.9855990709928104,256,PRUNED
84,84,144.0,2022-06-21 12:52:53.565049,2022-06-21 12:52:59.345655,0 days 00:00:05.780606,tanh,6,0.008240841394359228,0.5325648372020695,timy,0.9917591586056408,64,PRUNED
85,85,271.3,2022-06-21 12:52:59.348221,2022-06-21 12:53:05.029301,0 days 00:00:05.681080,tanh,7,0.00255683361330673,1.429046782198143,small,0.9974431663866933,128,PRUNED
86,86,58.5,2022-06-21 12:53:05.031606,2022-06-21 12:53:10.867620,0 days 00:00:05.836014,relu,6,0.004771508726649962,3.0690733176861698,timy,0.99522849127335,64,PRUNED
87,87,160.1,2022-06-21 12:53:10.869691,2022-06-21 12:53:17.217318,0 days 00:00:06.347627,relu,5,0.007263752623248375,0.4163875782928939,small,0.9927362473767516,32,PRUNED
